Brand,Type,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
Subaru,Baja,Gas,Std,Four,Sedan,Fwd,Front,97.2,172.0,65.4,52.5,2340,Ohcf,Four,108,Mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0
Subaru,R1,Gas,Std,Four,Sedan,4Wd,Front,97.0,172.0,65.4,54.3,2385,Ohcf,Four,108,2Bbl,3.62,2.64,9.0,82,4800,24,25,9233.0
Subaru,R2,Gas,Turbo,Four,Sedan,4Wd,Front,97.0,172.0,65.4,54.3,2510,Ohcf,Four,108,Mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0
Subaru,Trezia,Gas,Std,Four,Wagon,Fwd,Front,97.0,173.5,65.4,53.0,2290,Ohcf,Four,108,2Bbl,3.62,2.64,9.0,82,4800,28,32,7463.0
Subaru,Tribeca,Gas,Std,Four,Wagon,Fwd,Front,97.0,173.5,65.4,53.0,2455,Ohcf,Four,108,Mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0
Subaru,Dl,Gas,Std,Four,Wagon,4Wd,Front,96.9,173.6,65.4,54.9,2420,Ohcf,Four,108,2Bbl,3.62,2.64,9.0,82,4800,23,29,8013.0
Subaru,Dl,Gas,Turbo,Four,Wagon,4Wd,Front,96.9,173.6,65.4,54.9,2650,Ohcf,Four,108,Mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0
Toyota,Corona Mark Ii,Gas,Std,Two,Hatchback,Fwd,Front,95.7,158.7,63.6,54.5,1985,Ohc,Four,92,2Bbl,3.05,3.03,9.0,62,4800,35,39,5348.0
Toyota,Corona,Gas,Std,Two,Hatchback,Fwd,Front,95.7,158.7,63.6,54.5,2040,Ohc,Four,92,2Bbl,3.05,3.03,9.0,62,4800,31,38,6338.0
Toyota,Corolla 1200,Gas,Std,Four,Hatchback,Fwd,Front,95.7,158.7,63.6,54.5,2015,Ohc,Four,92,2Bbl,3.05,3.03,9.0,62,4800,31,38,6488.0
Toyota,Corona Hardtop,Gas,Std,Four,Wagon,Fwd,Front,95.7,169.7,63.6,59.1,2280,Ohc,Four,92,2Bbl,3.05,3.03,9.0,62,4800,31,37,6918.0
Toyota,Corolla 1600 (Sw),Gas,Std,Four,Wagon,4Wd,Front,95.7,169.7,63.6,59.1,2290,Ohc,Four,92,2Bbl,3.05,3.03,9.0,62,4800,27,32,7898.0
Toyota,Carina,Gas,Std,Four,Wagon,4Wd,Front,95.7,169.7,63.6,59.1,3110,Ohc,Four,92,2Bbl,3.05,3.03,9.0,62,4800,27,32,8778.0
Toyota,Mark Ii,Gas,Std,Four,Sedan,Fwd,Front,95.7,166.3,64.4,53.0,2081,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,30,37,6938.0
Toyota,Corolla 1200,Gas,Std,Four,Hatchback,Fwd,Front,95.7,166.3,64.4,52.8,2109,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,30,37,7198.0
Toyota,Corona,Diesel,Std,Four,Sedan,Fwd,Front,95.7,166.3,64.4,53.0,2275,Ohc,Four,110,Idi,3.27,3.35,22.5,56,4500,34,36,7898.0
Toyota,Corolla,Diesel,Std,Four,Hatchback,Fwd,Front,95.7,166.3,64.4,52.8,2275,Ohc,Four,110,Idi,3.27,3.35,22.5,56,4500,38,47,7788.0
Toyota,Corona,Gas,Std,Four,Sedan,Fwd,Front,95.7,166.3,64.4,53.0,2094,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,38,47,7738.0
Toyota,Corolla,Gas,Std,Four,Hatchback,Fwd,Front,95.7,166.3,64.4,52.8,2122,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,28,34,8358.0
Toyota,Mark Ii,Gas,Std,Four,Sedan,Fwd,Front,95.7,166.3,64.4,52.8,2140,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,28,34,9258.0
Toyota,Corolla Liftback,Gas,Std,Two,Sedan,Rwd,Front,94.5,168.7,64.0,52.6,2169,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,29,34,8058.0
Toyota,Corona,Gas,Std,Two,Hatchback,Rwd,Front,94.5,168.7,64.0,52.6,2204,Ohc,Four,98,2Bbl,3.19,3.03,9.0,70,4800,29,34,8238.0
Toyota,Celica Gt Liftback,Gas,Std,Two,Sedan,Rwd,Front,94.5,168.7,64.0,52.6,2265,Dohc,Four,98,Mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0
Toyota,Corolla Tercel,Gas,Std,Two,Hatchback,Rwd,Front,94.5,168.7,64.0,52.6,2300,Dohc,Four,98,Mpfi,3.24,3.08,9.4,112,6600,26,29,9538.0
Toyota,Corona Liftback,Gas,Std,Two,Hardtop,Rwd,Front,98.4,176.2,65.6,52.0,2540,Ohc,Four,146,Mpfi,3.62,3.5,9.3,116,4800,24,30,8449.0
Toyota,Corolla,Gas,Std,Two,Hardtop,Rwd,Front,98.4,176.2,65.6,52.0,2536,Ohc,Four,146,Mpfi,3.62,3.5,9.3,116,4800,24,30,9639.0
Toyota,Starlet,Gas,Std,Two,Hatchback,Rwd,Front,98.4,176.2,65.6,52.0,2551,Ohc,Four,146,Mpfi,3.62,3.5,9.3,116,4800,24,30,9989.0
Toyota,Tercel,Gas,Std,Two,Hardtop,Rwd,Front,98.4,176.2,65.6,52.0,2679,Ohc,Four,146,Mpfi,3.62,3.5,9.3,116,4800,24,30,11199.0
Toyota,Corolla,Gas,Std,Two,Hatchback,Rwd,Front,98.4,176.2,65.6,52.0,2714,Ohc,Four,146,Mpfi,3.62,3.5,9.3,116,4800,24,30,11549.0
Toyota,Cressida,Gas,Std,Two,Convertible,Rwd,Front,98.4,176.2,65.6,53.0,2975,Ohc,Four,146,Mpfi,3.62,3.5,9.3,116,4800,24,30,17669.0
Toyota,Corolla,Gas,Std,Four,Sedan,Fwd,Front,102.4,175.6,66.5,54.9,2326,Ohc,Four,122,Mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0
Toyota,Celica Gt,Diesel,Turbo,Four,Sedan,Fwd,Front,102.4,175.6,66.5,54.9,2480,Ohc,Four,110,Idi,3.27,3.35,22.5,73,4500,30,33,10698.0
Toyota,Corona,Gas,Std,Four,Hatchback,Fwd,Front,102.4,175.6,66.5,53.9,2414,Ohc,Four,122,Mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0
Toyota,Corolla,Gas,Std,Four,Sedan,Fwd,Front,102.4,175.6,66.5,54.9,2414,Ohc,Four,122,Mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0
Toyota,Mark Ii,Gas,Std,Four,Hatchback,Fwd,Front,102.4,175.6,66.5,53.9,2458,Ohc,Four,122,Mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0
Toyota,Corolla Liftback,Gas,Std,Two,Hatchback,Rwd,Front,102.9,183.5,67.7,52.0,2976,Dohc,Six,171,Mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0
Toyota,Corona,Gas,Std,Two,Hatchback,Rwd,Front,102.9,183.5,67.7,52.0,3016,Dohc,Six,171,Mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0
Toyota,Starlet,Gas,Std,Four,Sedan,Rwd,Front,104.5,187.8,66.5,54.1,3131,Dohc,Six,171,Mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0
Toyota,Tercel,Gas,Std,Four,Wagon,Rwd,Front,104.5,187.8,66.5,54.1,3151,Dohc,Six,161,Mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0
Volkswagen,Rabbit,Diesel,Std,Two,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2261,Ohc,Four,97,Idi,3.01,3.4,23.0,52,4800,37,46,7775.0
Volkswagen,1131 Deluxe Sedan,Gas,Std,Two,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2209,Ohc,Four,109,Mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0
Volkswagen,Model 111,Diesel,Std,Four,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2264,Ohc,Four,97,Idi,3.01,3.4,23.0,52,4800,37,46,7995.0
Volkswagen,Type 3,Gas,Std,Four,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2212,Ohc,Four,109,Mpfi,3.19,3.4,9.0,85,5250,27,34,8195.0
Volkswagen,411 (Sw),Gas,Std,Four,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2275,Ohc,Four,109,Mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0
Volkswagen,Super Beetle,Diesel,Turbo,Four,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2319,Ohc,Four,97,Idi,3.01,3.4,23.0,68,4500,37,42,9495.0
Volkswagen,Dasher,Gas,Std,Four,Sedan,Fwd,Front,97.3,171.7,65.5,55.7,2300,Ohc,Four,109,Mpfi,3.19,3.4,10.0,100,5500,26,32,9995.0
Volkswagen,Dasher,Gas,Std,Two,Convertible,Fwd,Front,94.5,159.3,64.2,55.6,2254,Ohc,Four,109,Mpfi,3.19,3.4,8.5,90,5500,24,29,11595.0
Volkswagen,Rabbit,Gas,Std,Two,Hatchback,Fwd,Front,94.5,165.7,64.0,51.4,2221,Ohc,Four,109,Mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0
Volkswagen,Rabbit,Gas,Std,Four,Sedan,Fwd,Front,100.4,180.2,66.9,55.1,2661,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110,5500,19,24,13295.0
Volkswagen,Rabbit Custom,Diesel,Turbo,Four,Sedan,Fwd,Front,100.4,180.2,66.9,55.1,2579,Ohc,Four,97,Idi,3.01,3.4,23.0,68,4500,33,38,13845.0
Volkswagen,Dasher,Gas,Std,Four,Wagon,Fwd,Front,100.4,183.1,66.9,55.1,2563,Ohc,Four,109,Mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0
Volvo,145E (Sw),Gas,Std,Four,Sedan,Rwd,Front,104.3,188.8,67.2,56.2,2912,Ohc,Four,141,Mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0
Volvo,144Ea,Gas,Std,Four,Wagon,Rwd,Front,104.3,188.8,67.2,57.5,3034,Ohc,Four,141,Mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0
Volvo,244Dl,Gas,Std,Four,Sedan,Rwd,Front,104.3,188.8,67.2,56.2,2935,Ohc,Four,141,Mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0
Volvo,245,Gas,Std,Four,Wagon,Rwd,Front,104.3,188.8,67.2,57.5,3042,Ohc,Four,141,Mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0
Volvo,264Gl,Gas,Turbo,Four,Sedan,Rwd,Front,104.3,188.8,67.2,56.2,3045,Ohc,Four,130,Mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0
Volvo,Diesel,Gas,Turbo,Four,Wagon,Rwd,Front,104.3,188.8,67.2,57.5,3157,Ohc,Four,130,Mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0
Volvo,145E (Sw),Gas,Std,Four,Sedan,Rwd,Front,109.1,188.8,68.9,55.5,2952,Ohc,Four,141,Mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0
Volvo,144Ea,Gas,Turbo,Four,Sedan,Rwd,Front,109.1,188.8,68.8,55.5,3049,Ohc,Four,141,Mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0
Volvo,244Dl,Gas,Std,Four,Sedan,Rwd,Front,109.1,188.8,68.9,55.5,3012,Ohcv,Six,173,Mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0
Volvo,246,Diesel,Turbo,Four,Sedan,Rwd,Front,109.1,188.8,68.9,55.5,3217,Ohc,Six,145,Idi,3.01,3.4,23.0,106,4800,26,27,22470.0
Volvo,264Gl,Gas,Turbo,Four,Sedan,Rwd,Front,109.1,188.8,68.9,55.5,3062,Ohc,Four,141,Mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0
